행정구역별,시점,데이터
전국(평균),2013,1162.9
전국(평균),2014,1173.8
전국(평균),2015,949
전국(평균),2016,1272.5
전국(평균),2017,967.8
전국(평균),2018,1386.9
전국(평균),2019,1193
전국(평균),2020,1627
전국(평균),2021,1249.2
전국(평균),2022,1140.5
서울특별시,2013,1403.8
서울특별시,2014,808.9
서울특별시,2015,792.1
서울특별시,2016,991.7
서울특별시,2017,1233.2
서울특별시,2018,1284.1
서울특별시,2019,891.3
서울특별시,2020,1651.1
서울특별시,2021,1186.5
서울특별시,2022,1775.3
부산광역시,2013,1130.1
부산광역시,2014,1693.1
부산광역시,2015,1396.7
부산광역시,2016,1760.2
부산광역시,2017,1014.4
부산광역시,2018,1778.6
부산광역시,2019,1623.2
부산광역시,2020,2281.6
부산광역시,2021,1807.8
부산광역시,2022,991.9
대구광역시,2013,571.2
대구광역시,2014,1047.6
대구광역시,2015,548.5
대구광역시,2016,1227.3
대구광역시,2017,663.7
대구광역시,2018,1297.6
대구광역시,2019,995.7
대구광역시,2020,1244.9
대구광역시,2021,910
대구광역시,2022,593
인천광역시,2013,1107.9
인천광역시,2014,595.3
인천광역시,2015,633.8
인천광역시,2016,899.7
인천광역시,2017,724.4
인천광역시,2018,1012.6
인천광역시,2019,864.7
인천광역시,2020,1335.7
인천광역시,2021,1068.4
인천광역시,2022,1401.1
광주광역시,2013,1245.4
광주광역시,2014,1290.3
광주광역시,2015,1049.6
광주광역시,2016,1482.3
광주광역시,2017,936.6
광주광역시,2018,1427.9
광주광역시,2019,1085.9
광주광역시,2020,2027
광주광역시,2021,1303.8
광주광역시,2022,769.9
대전광역시,2013,1120.2
대전광역시,2014,1117.7
대전광역시,2015,822.7
대전광역시,2016,1228.4
대전광역시,2017,1127.5
대전광역시,2018,1542.1
대전광역시,2019,984.2
대전광역시,2020,1614
대전광역시,2021,1109.5
대전광역시,2022,1203.1
울산광역시,2013,858.3
울산광역시,2014,1398.7
울산광역시,2015,1044.6
울산광역시,2016,1693.9
울산광역시,2017,671.4
울산광역시,2018,1416.1
울산광역시,2019,1450.1
울산광역시,2020,1557.9
울산광역시,2021,1337
울산광역시,2022,926.1
세종특별자치시,2019,959.3
세종특별자치시,2020,1685.8
세종특별자치시,2021,1104.6
세종특별자치시,2022,1222.4
경기도,2013,1421.6
경기도,2014,799
경기도,2015,820
경기도,2016,1016.1
경기도,2017,1094.9
경기도,2018,1316.7
경기도,2019,1000.5
경기도,2020,1585
경기도,2021,1050.7
경기도,2022,1839.6
강원도,2013,1230.3
강원도,2014,1006
강원도,2015,893.9
강원도,2016,1065.1
강원도,2017,1101.8
강원도,2018,1450
강원도,2019,1094.6
강원도,2020,1575.1
강원도,2021,1129.9
강원도,2022,1465.4
충청북도,2013,1165.4
충청북도,2014,990.5
충청북도,2015,787.6
충청북도,2016,1080.3
충청북도,2017,1137.9
충청북도,2018,1370.7
충청북도,2019,941.1
충청북도,2020,1535.9
충청북도,2021,1151.2
충청북도,2022,1229.9
충청남도,2013,1147
충청남도,2014,1060.7
충청남도,2015,713
충청남도,2016,989.2
충청남도,2017,1013.5
충청남도,2018,1313.7
충청남도,2019,913.2
충청남도,2020,1537.8
충청남도,2021,1171.7
충청남도,2022,1273.2
전라북도,2013,1255.7
전라북도,2014,1281.9
전라북도,2015,933
전라북도,2016,1254.5
전라북도,2017,949.3
전라북도,2018,1435.3
전라북도,2019,1148.2
전라북도,2020,1822.2
전라북도,2021,1276.1
전라북도,2022,911
전라남도,2013,1206.4
전라남도,2014,1486.4
전라남도,2015,1246.3
전라남도,2016,1499.6
전라남도,2017,867.4
전라남도,2018,1479.3
전라남도,2019,1401.9
전라남도,2020,1616.3
전라남도,2021,1392.4
전라남도,2022,896.7
경상북도,2013,991.6
경상북도,2014,1153.8
경상북도,2015,823.1
경상북도,2016,1220.2
경상북도,2017,864.2
경상북도,2018,1316.6
경상북도,2019,1147.8
경상북도,2020,1364.5
경상북도,2021,1191.9
경상북도,2022,886.7
경상남도,2013,1167.2
경상남도,2014,1579
경상남도,2015,1237.5
경상남도,2016,1737.1
경상남도,2017,876.4
경상남도,2018,1679.9
경상남도,2019,1588.4
경상남도,2020,1886.5
경상남도,2021,1480.3
경상남도,2022,948
제주특별자치도,2013,1001.7
제주특별자치도,2014,1887.3
제주특별자치도,2015,2108.8
제주특별자치도,2016,1792.5
제주특별자치도,2017,1221.6
제주특별자치도,2018,1857.1
제주특별자치도,2019,2102.3
제주특별자치도,2020,1706.1
제주특별자치도,2021,1809.5
제주특별자치도,2022,1362.4
